rawfile_name,rawfile_id,sample_id,rawfile_name_R,sample,run_type,DilutionConcentration,batch,RunOrder,ome_id,keep,timestamp
20240723_SIA_Batch3_1143.raw,1101,241,X20240723_SIA_Batch3_1143.raw,1143,Sample,NA,3,69,2,1,02:57.6
20240723_SIA_Batch3_1143_2.raw,1180,365,X20240723_SIA_Batch3_1143_2.raw,1143.2,Sample,NA,3,61,2,1,18:20.0
20240723_SIA_Batch3_1161.raw,1118,259,X20240723_SIA_Batch3_1161.raw,1161,Sample,NA,3,59,2,1,19:30.5
20240723_SIA_Batch3_1172.raw,1129,270,X20240723_SIA_Batch3_1172.raw,1172,Sample,NA,3,44,2,1,50:20.4
20240723_SIA_Batch3_1182.raw,1139,280,X20240723_SIA_Batch3_1182.raw,1182,Sample,NA,3,64,2,1,16:32.7
20240723_SIA_Batch3_14.raw,916,13,X20240723_SIA_Batch3_14.raw,14,Sample,NA,3,53,2,1,34:24.4
20240723_SIA_Batch3_2018_67.raw,1207,330,X20240723_SIA_Batch3_2018_67.raw,2018.67,Sample,NA,3,66,2,1,15:22.3
20240723_SIA_Batch3_44.raw,940,43,X20240723_SIA_Batch3_44.raw,44,Sample,NA,3,71,2,1,01:43.3
20240723_SIA_Batch3_48.raw,942,47,X20240723_SIA_Batch3_48.raw,48,Sample,NA,3,52,2,1,34:59.5
20240723_SIA_Batch3_67.raw,958,65,X20240723_SIA_Batch3_67.raw,67,Sample,NA,3,65,2,1,15:57.4
20240723_SIA_Batch3_68.raw,959,66,X20240723_SIA_Batch3_68.raw,68,Sample,NA,3,70,2,1,02:20.6
20240723_SIA_Batch3_72.raw,963,70,X20240723_SIA_Batch3_72.raw,72,Sample,NA,3,75,2,1,59:20.8
20240723_SIA_Batch3_82.raw,970,80,X20240723_SIA_Batch3_82.raw,82,Sample,NA,3,41,2,1,52:01.8
20240723_SIA_Batch3_88.raw,975,86,X20240723_SIA_Batch3_88.raw,88,Sample,NA,3,47,2,1,48:32.6
20240723_SIA_Batch3_99.raw,984,97,X20240723_SIA_Batch3_99.raw,99,Sample,NA,3,68,2,1,03:32.8
20240723_SIA_Batch3_Control_rep1.raw,1210,-1,X20240723_SIA_Batch3_Control_rep1.raw,Blank,QcRep,NA,3,38,2,1,53:47.2
20240723_SIA_Batch3_Control_rep2.raw,1220,-1,X20240723_SIA_Batch3_Control_rep2.raw,Blank,QcRep,NA,3,48,2,1,37:22.1
20240723_SIA_Batch3_Control_rep3.raw,1230,-1,X20240723_SIA_Batch3_Control_rep3.raw,Blank,QcRep,NA,3,58,2,1,20:40.8
20240723_SIA_Batch3_Control_rep4.raw,1240,-1,X20240723_SIA_Batch3_Control_rep4.raw,Blank,QcRep,NA,3,67,2,1,04:08.0
20240723_SIA_Batch3_Control_rep5.raw,1250,-1,X20240723_SIA_Batch3_Control_rep5.raw,Blank,QcRep,NA,3,76,2,1,57:29.6
20240723_SIA_Batch3_H12.raw,1270,299,X20240723_SIA_Batch3_H12.raw,H12,Sample,NA,3,43,2,1,50:53.7
20240723_SIA_Batch3_H13.raw,1271,300,X20240723_SIA_Batch3_H13.raw,H13,Sample,NA,3,46,2,1,49:08.0
20240723_SIA_Batch3_NC17.raw,1296,397,X20240723_SIA_Batch3_NC17.raw,NC17,Sample,NA,3,50,2,1,36:10.1
20240723_SIA_Batch3_NC5.raw,1302,385,X20240723_SIA_Batch3_NC5.raw,NC5,Sample,NA,3,62,2,1,17:42.9
20240725_SIA_Batch4_1005.raw,993,105,X20240725_SIA_Batch4_1005.raw,1005,Sample,NA,4,83,2,1,41:45.3
20240725_SIA_Batch4_1055.raw,1032,154,X20240725_SIA_Batch4_1055.raw,1055,Sample,NA,4,105,2,1,56:14.0
20240725_SIA_Batch4_1067.raw,1041,166,X20240725_SIA_Batch4_1067.raw,1067,Sample,NA,4,93,2,1,25:14.7
20240725_SIA_Batch4_1084.raw,1053,183,X20240725_SIA_Batch4_1084.raw,1084,Sample,NA,4,84,2,1,41:08.2
20240725_SIA_Batch4_1105.raw,1069,204,X20240725_SIA_Batch4_1105.raw,1105,Sample,NA,4,78,2,1,NA
20240725_SIA_Batch4_1106.raw,1070,205,X20240725_SIA_Batch4_1106.raw,1106,Sample,NA,4,97,2,1,11:40.0
20240725_SIA_Batch4_1130_2.raw,1173,358,X20240725_SIA_Batch4_1130_2.raw,1130.2,Sample,NA,4,79,2,1,44:09.2
20240725_SIA_Batch4_1131.raw,1092,230,X20240725_SIA_Batch4_1131.raw,1131,Sample,NA,4,107,2,1,55:01.9
20240725_SIA_Batch4_1132.raw,1093,231,X20240725_SIA_Batch4_1132.raw,1132,Sample,NA,4,96,2,1,12:15.0
20240725_SIA_Batch4_1136_2.raw,1175,360,X20240725_SIA_Batch4_1136_2.raw,1136.2,Sample,NA,4,85,2,1,40:33.0
20240725_SIA_Batch4_1139.raw,1098,237,X20240725_SIA_Batch4_1139.raw,1139,Sample,NA,4,104,2,1,56:49.1
20240725_SIA_Batch4_1148.raw,1106,246,X20240725_SIA_Batch4_1148.raw,1148,Sample,NA,4,99,2,1,10:27.6
20240725_SIA_Batch4_1151_2.raw,1186,371,X20240725_SIA_Batch4_1151_2.raw,1151.2,Sample,NA,4,98,2,1,11:02.8
20240725_SIA_Batch4_1153.raw,1110,251,X20240725_SIA_Batch4_1153.raw,1153,Sample,NA,4,80,2,1,43:32.2
20240725_SIA_Batch4_1160_2.raw,1191,376,X20240725_SIA_Batch4_1160_2.raw,1160.2,Sample,NA,4,87,2,1,28:47.9
20240725_SIA_Batch4_1169_2.raw,1194,379,X20240725_SIA_Batch4_1169_2.raw,1169.2,Sample,NA,4,89,2,1,27:37.4
20240725_SIA_Batch4_1171.raw,1128,269,X20240725_SIA_Batch4_1171.raw,1171,Sample,NA,4,81,2,1,42:57.3
20240725_SIA_Batch4_1173.raw,1130,271,X20240725_SIA_Batch4_1173.raw,1173,Sample,NA,4,100,2,1,09:50.4
20240725_SIA_Batch4_1185.raw,1142,283,X20240725_SIA_Batch4_1185.raw,1185,Sample,NA,4,106,2,1,55:38.9
20240725_SIA_Batch4_1186.raw,1143,284,X20240725_SIA_Batch4_1186.raw,1186,Sample,NA,4,111,2,1,52:36.9
20240725_SIA_Batch4_17.raw,919,16,X20240725_SIA_Batch4_17.raw,17,Sample,NA,4,88,2,1,28:12.7
20240725_SIA_Batch4_20.raw,922,19,X20240725_SIA_Batch4_20.raw,20,Sample,NA,4,102,2,1,08:36.4
20240725_SIA_Batch4_2006_95.raw,1198,320,X20240725_SIA_Batch4_2006_95.raw,2006.95,Sample,NA,4,90,2,1,27:02.2
20240725_SIA_Batch4_3.raw,909,3,X20240725_SIA_Batch4_3.raw,3,Sample,NA,4,108,2,1,54:24.6
20240725_SIA_Batch4_60.raw,952,58,X20240725_SIA_Batch4_60.raw,60,Sample,NA,4,95,2,1,12:50.2
20240725_SIA_Batch4_79.raw,968,77,X20240725_SIA_Batch4_79.raw,79,Sample,NA,4,101,2,1,09:13.4
20240725_SIA_Batch4_97.raw,982,95,X20240725_SIA_Batch4_97.raw,97,Sample,NA,4,92,2,1,25:49.9
20240725_SIA_Batch4_Control_rep1.raw,1211,-1,X20240725_SIA_Batch4_Control_rep1.raw,Blank,QcRep,NA,4,77,2,1,45:21.5
20240725_SIA_Batch4_Control_rep2.raw,1221,-1,X20240725_SIA_Batch4_Control_rep2.raw,Blank,QcRep,NA,4,86,2,1,29:24.9
20240725_SIA_Batch4_Control_rep3.raw,1231,-1,X20240725_SIA_Batch4_Control_rep3.raw,Blank,QcRep,NA,4,94,2,1,14:04.2
20240725_SIA_Batch4_Control_rep4.raw,1241,-1,X20240725_SIA_Batch4_Control_rep4.raw,Blank,QcRep,NA,4,103,2,1,57:26.2
20240725_SIA_Batch4_Control_rep5.raw,1251,-1,X20240725_SIA_Batch4_Control_rep5.raw,Blank,QcRep,NA,4,112,2,1,50:51.4
20240725_SIA_Batch4_H1.raw,1267,288,X20240725_SIA_Batch4_H1.raw,H1,Sample,NA,4,91,2,1,26:24.9
20240725_SIA_Batch4_H24.raw,1282,311,X20240725_SIA_Batch4_H24.raw,H24,Sample,NA,4,82,2,1,42:22.2
20240725_SIA_Batch4_NC11.raw,1292,391,X20240725_SIA_Batch4_NC11.raw,NC11,Sample,NA,4,109,2,1,53:47.2
20240725_SIA_Batch4_NC15.raw,1294,395,X20240725_SIA_Batch4_NC15.raw,NC15,Sample,NA,4,110,2,1,53:12.1
20240727_SIA_Batch5_1.raw,907,1,X20240727_SIA_Batch5_1.raw,1,Sample,NA,5,136,2,1,31:51.3
20240727_SIA_Batch5_1007.raw,995,107,X20240727_SIA_Batch5_1007.raw,1007,Sample,NA,5,115,2,1,05:54.4
20240727_SIA_Batch5_1012.raw,1000,112,X20240727_SIA_Batch5_1012.raw,1012,Sample,NA,5,143,2,1,27:45.3
20240727_SIA_Batch5_1025.raw,1008,125,X20240727_SIA_Batch5_1025.raw,1025,Sample,NA,5,139,2,1,30:05.9
20240727_SIA_Batch5_1046.raw,1025,145,X20240727_SIA_Batch5_1046.raw,1046,Sample,NA,5,135,2,1,32:26.4
20240727_SIA_Batch5_1047.raw,1026,146,X20240727_SIA_Batch5_1047.raw,1047,Sample,NA,5,147,2,1,14:47.5
20240727_SIA_Batch5_1068.raw,1042,167,X20240727_SIA_Batch5_1068.raw,1068,Sample,NA,5,114,2,1,06:29.6
20240727_SIA_Batch5_1073.raw,1047,172,X20240727_SIA_Batch5_1073.raw,1073,Sample,NA,5,127,2,1,48:21.6
20240727_SIA_Batch5_1076.raw,1049,175,X20240727_SIA_Batch5_1076.raw,1076,Sample,NA,5,146,2,1,15:22.7
20240727_SIA_Batch5_1089.raw,1057,188,X20240727_SIA_Batch5_1089.raw,1089,Sample,NA,5,149,2,1,13:37.4
20240727_SIA_Batch5_1112.raw,1075,211,X20240727_SIA_Batch5_1112.raw,1112,Sample,NA,5,140,2,1,29:32.9
20240727_SIA_Batch5_1120.raw,1082,219,X20240727_SIA_Batch5_1120.raw,1120,Sample,NA,5,137,2,1,31:16.3
20240727_SIA_Batch5_1122_2.raw,1167,352,X20240727_SIA_Batch5_1122_2.raw,1122.2,Sample,NA,5,151,2,1,12:26.9
20240727_SIA_Batch5_1125_2.raw,1169,354,X20240727_SIA_Batch5_1125_2.raw,1125.2,Sample,NA,5,144,2,1,27:10.3
20240727_SIA_Batch5_1127.raw,1088,226,X20240727_SIA_Batch5_1127.raw,1127,Sample,NA,5,133,2,1,44:49.1
20240727_SIA_Batch5_1144_2.raw,1181,366,X20240727_SIA_Batch5_1144_2.raw,1144.2,Sample,NA,5,125,2,1,49:31.9
20240727_SIA_Batch5_1145.raw,1103,243,X20240727_SIA_Batch5_1145.raw,1145,Sample,NA,5,154,2,1,10:41.5
20240727_SIA_Batch5_1146.raw,1104,244,X20240727_SIA_Batch5_1146.raw,1146,Sample,NA,5,118,2,1,04:09.1
20240727_SIA_Batch5_1147_2.raw,1183,368,X20240727_SIA_Batch5_1147_2.raw,1147.2,Sample,NA,5,121,2,1,02:25.5
20240727_SIA_Batch5_1149_2.raw,1185,370,X20240727_SIA_Batch5_1149_2.raw,1149.2,Sample,NA,5,128,2,1,47:46.6
20240727_SIA_Batch5_1160.raw,1117,258,X20240727_SIA_Batch5_1160.raw,1160,Sample,NA,5,152,2,1,11:51.7
20240727_SIA_Batch5_1166.raw,1123,264,X20240727_SIA_Batch5_1166.raw,1166,Sample,NA,5,148,2,1,14:12.4
20240727_SIA_Batch5_1178.raw,1135,276,X20240727_SIA_Batch5_1178.raw,1178,Sample,NA,5,129,2,1,47:11.5
20240727_SIA_Batch5_1179.raw,1136,277,X20240727_SIA_Batch5_1179.raw,1179,Sample,NA,5,122,2,1,01:48.4
20240727_SIA_Batch5_1189.raw,1146,287,X20240727_SIA_Batch5_1189.raw,1189,Sample,NA,5,130,2,1,46:34.4
20240727_SIA_Batch5_2003_16.raw,1196,317,X20240727_SIA_Batch5_2003_16.raw,2003.16,Sample,NA,5,153,2,1,11:16.7
20240727_SIA_Batch5_2008_53.raw,1199,322,X20240727_SIA_Batch5_2008_53.raw,2008.53,Sample,NA,5,138,2,1,30:39.0
20240727_SIA_Batch5_31.raw,931,30,X20240727_SIA_Batch5_31.raw,31,Sample,NA,5,126,2,1,48:56.8
20240727_SIA_Batch5_34.raw,934,33,X20240727_SIA_Batch5_34.raw,34,Sample,NA,5,131,2,1,45:59.5
20240727_SIA_Batch5_4.raw,910,4,X20240727_SIA_Batch5_4.raw,4,Sample,NA,5,119,2,1,03:33.9
20240727_SIA_Batch5_52.raw,946,51,X20240727_SIA_Batch5_52.raw,52,Sample,NA,5,142,2,1,28:22.3
20240727_SIA_Batch5_63.raw,954,61,X20240727_SIA_Batch5_63.raw,63,Sample,NA,5,116,2,1,05:19.3
20240727_SIA_Batch5_74.raw,965,72,X20240727_SIA_Batch5_74.raw,74,Sample,NA,5,120,2,1,03:00.7
20240727_SIA_Batch5_80.raw,969,78,X20240727_SIA_Batch5_80.raw,80,Sample,NA,5,132,2,1,45:24.4
20240727_SIA_Batch5_85.raw,972,83,X20240727_SIA_Batch5_85.raw,85,Sample,NA,5,141,2,1,28:57.6
20240727_SIA_Batch5_Control_rep1.raw,1212,-1,X20240727_SIA_Batch5_Control_rep1.raw,Blank,QcRep,NA,5,113,2,1,07:04.5
20240727_SIA_Batch5_Control_rep2.raw,1222,-1,X20240727_SIA_Batch5_Control_rep2.raw,Blank,QcRep,NA,5,123,2,1,50:42.0
20240727_SIA_Batch5_Control_rep3.raw,1232,-1,X20240727_SIA_Batch5_Control_rep3.raw,Blank,QcRep,NA,5,134,2,1,33:38.9
20240727_SIA_Batch5_Control_rep4.raw,1242,-1,X20240727_SIA_Batch5_Control_rep4.raw,Blank,QcRep,NA,5,145,2,1,15:57.8
20240727_SIA_Batch5_Control_rep5.raw,1252,-1,X20240727_SIA_Batch5_Control_rep5.raw,Blank,QcRep,NA,5,155,2,1,08:56.0
20240727_SIA_Batch5_H20.raw,1278,307,X20240727_SIA_Batch5_H20.raw,H20,Sample,NA,5,124,2,1,50:06.9
20240727_SIA_Batch5_H3.raw,1286,290,X20240727_SIA_Batch5_H3.raw,H3,Sample,NA,5,150,2,1,13:02.2
20240727_SIA_Batch5_NC4.raw,1301,384,X20240727_SIA_Batch5_NC4.raw,NC4,Sample,NA,5,117,2,1,04:44.1
20240729_SIA_Batch6_1008.raw,996,108,X20240729_SIA_Batch6_1008.raw,1008,Sample,NA,6,166,2,1,40:20.6
20240729_SIA_Batch6_1034.raw,1017,134,X20240729_SIA_Batch6_1034.raw,1034,Sample,NA,6,185,2,1,06:50.4
20240729_SIA_Batch6_1036.raw,1019,136,X20240729_SIA_Batch6_1036.raw,1036,Sample,NA,6,186,2,1,06:15.4
20240729_SIA_Batch6_1039.raw,1021,139,X20240729_SIA_Batch6_1039.raw,1039,Sample,NA,6,180,2,1,21:35.5
20240729_SIA_Batch6_1085.raw,1054,184,X20240729_SIA_Batch6_1085.raw,1085,Sample,NA,6,197,2,1,49:09.3
20240729_SIA_Batch6_1099.raw,1064,198,X20240729_SIA_Batch6_1099.raw,1099,Sample,NA,6,192,2,1,52:05.0
20240729_SIA_Batch6_1110_2.raw,1157,342,X20240729_SIA_Batch6_1110_2.raw,1110.2,Sample,NA,6,173,2,1,25:39.5
20240729_SIA_Batch6_1119.raw,1081,218,X20240729_SIA_Batch6_1119.raw,1119,Sample,NA,6,175,2,1,24:29.1
20240729_SIA_Batch6_1125.raw,1086,224,X20240729_SIA_Batch6_1125.raw,1125,Sample,NA,6,177,2,1,23:20.9
20240729_SIA_Batch6_1128.raw,1089,227,X20240729_SIA_Batch6_1128.raw,1128,Sample,NA,6,168,2,1,39:10.2
20240729_SIA_Batch6_1129.raw,1090,228,X20240729_SIA_Batch6_1129.raw,1129,Sample,NA,6,189,2,1,04:28.1
20240729_SIA_Batch6_1135_2.raw,1174,359,X20240729_SIA_Batch6_1135_2.raw,1135.2,Sample,NA,6,195,2,1,50:21.7
20240729_SIA_Batch6_1138_2.raw,1177,362,X20240729_SIA_Batch6_1138_2.raw,1138.2,Sample,NA,6,191,2,1,52:42.3
20240729_SIA_Batch6_1141_2.raw,1178,363,X20240729_SIA_Batch6_1141_2.raw,1141.2,Sample,NA,6,181,2,1,20:58.4
20240729_SIA_Batch6_1148_2.raw,1184,369,X20240729_SIA_Batch6_1148_2.raw,1148.2,Sample,NA,6,198,2,1,48:34.0
20240729_SIA_Batch6_1150.raw,1108,248,X20240729_SIA_Batch6_1150.raw,1150,Sample,NA,6,179,2,1,22:10.5
20240729_SIA_Batch6_1158.raw,1115,256,X20240729_SIA_Batch6_1158.raw,1158,Sample,NA,6,174,2,1,25:04.3
20240729_SIA_Batch6_1167.raw,1124,265,X20240729_SIA_Batch6_1167.raw,1167,Sample,NA,6,171,2,1,37:25.0
20240729_SIA_Batch6_1183.raw,1140,281,X20240729_SIA_Batch6_1183.raw,1183,Sample,NA,6,176,2,1,23:54.1
20240729_SIA_Batch6_16.raw,918,15,X20240729_SIA_Batch6_16.raw,16,Sample,NA,6,196,2,0; low extracted volume,49:46.4
20240729_SIA_Batch6_2009_56.raw,1200,323,X20240729_SIA_Batch6_2009_56.raw,2009.56,Sample,NA,6,170,2,1,38:00.1
20240729_SIA_Batch6_2011_101.raw,1202,325,X20240729_SIA_Batch6_2011_101.raw,2011.101,Sample,NA,6,167,2,1,39:45.4
20240729_SIA_Batch6_22.raw,924,21,X20240729_SIA_Batch6_22.raw,22,Sample,NA,6,178,2,1,22:45.6
20240729_SIA_Batch6_42.raw,938,41,X20240729_SIA_Batch6_42.raw,42,Sample,NA,6,165,2,1,40:55.8
20240729_SIA_Batch6_51.raw,945,50,X20240729_SIA_Batch6_51.raw,51,Sample,NA,6,187,2,1,05:40.4
20240729_SIA_Batch6_54.raw,947,53,X20240729_SIA_Batch6_54.raw,54,Sample,NA,6,193,2,1,51:29.8
20240729_SIA_Batch6_58.raw,951,57,X20240729_SIA_Batch6_58.raw,58,Sample,NA,6,164,2,0;  low extracted volume,41:30.8
20240729_SIA_Batch6_8.raw,913,8,X20240729_SIA_Batch6_8.raw,8,Sample,NA,6,169,2,1,38:35.3
20240729_SIA_Batch6_86.raw,973,84,X20240729_SIA_Batch6_86.raw,86,Sample,NA,6,184,2,1,07:25.6
20240729_SIA_Batch6_Control_rep1.raw,1213,-1,X20240729_SIA_Batch6_Control_rep1.raw,Blank,QcRep,NA,6,163,2,1,42:06.1
20240729_SIA_Batch6_Control_rep2.raw,1223,-1,X20240729_SIA_Batch6_Control_rep2.raw,Blank,QcRep,NA,6,172,2,1,26:14.8
20240729_SIA_Batch6_Control_rep3.raw,1233,-1,X20240729_SIA_Batch6_Control_rep3.raw,Blank,QcRep,NA,6,182,2,1,09:11.1
20240729_SIA_Batch6_Control_Rep4.raw,1243,-1,X20240729_SIA_Batch6_Control_Rep4.raw,Blank,QcRep,NA,6,190,2,1,53:17.4
20240729_SIA_Batch6_Control_rep5.raw,1253,-1,X20240729_SIA_Batch6_Control_rep5.raw,Blank,QcRep,NA,6,200,2,1,46:11.8
20240729_SIA_Batch6_Dilution_0p125x.raw,1259,-1,X20240729_SIA_Batch6_Dilution_0p125x.raw,Blank,QcDilution,12.5,6,157,2,1,56:11.9
20240729_SIA_Batch6_Dilution_0p25x.raw,1260,-1,X20240729_SIA_Batch6_Dilution_0p25x.raw,Blank,QcDilution,25,6,158,2,1,55:36.8
20240729_SIA_Batch6_Dilution_0p5x.raw,1261,-1,X20240729_SIA_Batch6_Dilution_0p5x.raw,Blank,QcDilution,50,6,159,2,1,55:01.8
20240729_SIA_Batch6_Dilution_0p75x.raw,1262,-1,X20240729_SIA_Batch6_Dilution_0p75x.raw,Blank,QcDilution,75,6,160,2,1,54:26.6
20240729_SIA_Batch6_Dilution_0x.raw,1263,-1,X20240729_SIA_Batch6_Dilution_0x.raw,Blank,QcDilution,1,6,156,2,1,56:49.2
20240729_SIA_Batch6_Dilution_1x.raw,1264,-1,X20240729_SIA_Batch6_Dilution_1x.raw,Blank,QcDilution,100,6,161,2,1,53:49.5
20240729_SIA_Batch6_ExtractionBlank_rep2.raw,1265,-1,X20240729_SIA_Batch6_ExtractionBlank_rep2.raw,Blank,SamplePrepBlank,NA,6,199,2,1,46:47.0
