rawfile_id,timestamp,rawfile_name,sample_id,run_type,keep,batch,ome_id,Sample
463,1720139794.67478,20240704_WFB_Plate_06_1167_NPA,265,Sample,1,6,1,1167
464,1720143562.03441,20240704_WFB_Plate_06_54_NPA,53,Sample,1,6,1,54
465,1720147333.93484,20240704_WFB_Plate_06_1138-2_NPA,362,Sample,1,6,1,1138.2
466,1720151102.02553,20240704_WFB_Plate_06_1110-2_NPA,342,Sample,1,6,1,1110.2
467,1720154869.44137,20240704_WFB_Plate_06_1085_NPA,184,Sample,1,6,1,1085
468,1720158641.13084,20240704_WFB_Plate_06_1135-2_NPA,359,Sample,1,6,1,1135.2
469,1720162408.9515,20240704_WFB_Plate_06_1141-2_NPA,363,Sample,1,6,1,1141.2
470,1720166175.21996,20240704_WFB_Plate_06_51_NPA,50,Sample,1,6,1,51
471,1720169940.84698,20240704_WFB_Plate_06_NC3_NPA,383,Sample,1,6,1,NC3
472,1720173706.98554,20240704_WFB_Plate_06_1158_NPA,256,Sample,1,6,1,1158
473,1720177474.30702,20240704_WFB_Plate_06_1088_NPA,187,Sample,1,6,1,1088
474,1720181242.14826,20240704_WFB_Plate_06_H9_NPA,296,Sample,1,6,1,H9
475,1720185005.90171,20240704_WFB_Plate_06_1128_NPA,227,Sample,1,6,1,1128
476,1720188773.68018,20240704_WFB_Plate_06_22_NPA,21,Sample,1,6,1,22
477,1720192538.32001,20240704_WFB_Plate_06_1148-2_NPA,369,Sample,1,6,1,1148.2
478,1720195986.75047,20240704_WFB_Plate_06_QC_02,-1,QC,1,6,1,QC
479,1720199758.04743,20240704_WFB_Plate_06_7_NPA,7,Sample,1,6,1,7
480,1720203523.17863,20240704_WFB_Plate_06_1095_NPA,194,Sample,1,6,1,1095
481,1720207294.13357,20240704_WFB_Plate_06_16_NPA,15,Sample,1,6,1,16
482,1720211059.57154,20240704_WFB_Plate_06_1119_NPA,218,Sample,1,6,1,1119
483,1720214829.41207,20240704_WFB_Plate_06_1034_NPA,134,Sample,1,6,1,1034
484,1720218606.46874,20240704_WFB_Plate_06_2009-56_NPA,323,Sample,1,6,1,2009.56
485,1720222371.93374,20240704_WFB_Plate_06_1042_NPA,142,Sample,1,6,1,1042
486,1720226143.54271,20240704_WFB_Plate_06_42_NPA,41,Sample,1,6,1,42
487,1720229909.93695,20240704_WFB_Plate_06_94_NPA,92,Sample,1,6,1,94
488,1720233679.62616,20240704_WFB_Plate_06_8_NPA,8,Sample,1,6,1,8
489,1720237442.75326,20240704_WFB_Plate_06_H23_NPA,310,Sample,1,6,1,H23
490,1720241213.92142,20240704_WFB_Plate_06_2011-101_NPA,325,Sample,1,6,1,2011.101
491,1720244983.13364,20240704_WFB_Plate_06_1083_NPA,182,Sample,1,6,1,1083
492,1720248748.42436,20240704_WFB_Plate_06_1008_NPA,108,Sample,1,6,1,1008
493,1720252513.88746,20240704_WFB_Plate_06_1039_NPA,139,Sample,1,6,1,1039
