rawfile_name_R,rawfile_name,rawfile_id,sample_id,sample,run_type,DilutionConcentration,batch,ome_id,keep,timestamp
X20240723_SIA_Batch3_1117.raw,20240723_SIA_Batch3_1117.raw,1079,216,1117,Sample,NA,3,2,1,18:55.2
X20240723_SIA_Batch3_1119_2.raw,20240723_SIA_Batch3_1119_2.raw,1165,350,1119.2,Sample,NA,3,2,1,49:43.2
X20240723_SIA_Batch3_1122.raw,20240723_SIA_Batch3_1122.raw,1084,221,1122,Sample,NA,3,2,1,59:56.0
X20240723_SIA_Batch3_1124.raw,20240723_SIA_Batch3_1124.raw,1085,223,1124,Sample,NA,3,2,1,32:37.0
X20240723_SIA_Batch3_1129_2.raw,20240723_SIA_Batch3_1129_2.raw,1172,357,1129.2,Sample,NA,3,2,1,01:08.5
X20240723_SIA_Batch3_1133.raw,20240723_SIA_Batch3_1133.raw,1094,232,1133,Sample,NA,3,2,1,31:59.8
X20240723_SIA_Batch3_1143.raw,20240723_SIA_Batch3_1143.raw,1101,241,1143,Sample,NA,3,2,1,02:57.6
X20240723_SIA_Batch3_1143_2.raw,20240723_SIA_Batch3_1143_2.raw,1180,365,1143.2,Sample,NA,3,2,1,18:20.0
X20240723_SIA_Batch3_1161.raw,20240723_SIA_Batch3_1161.raw,1118,259,1161,Sample,NA,3,2,1,19:30.5
X20240723_SIA_Batch3_1172.raw,20240723_SIA_Batch3_1172.raw,1129,270,1172,Sample,NA,3,2,1,50:20.4
X20240723_SIA_Batch3_1182.raw,20240723_SIA_Batch3_1182.raw,1139,280,1182,Sample,NA,3,2,1,16:32.7
X20240723_SIA_Batch3_14.raw,20240723_SIA_Batch3_14.raw,916,13,14,Sample,NA,3,2,1,34:24.4
X20240723_SIA_Batch3_2018_67.raw,20240723_SIA_Batch3_2018_67.raw,1207,330,2018.67,Sample,NA,3,2,1,15:22.3
X20240723_SIA_Batch3_44.raw,20240723_SIA_Batch3_44.raw,940,43,44,Sample,NA,3,2,1,01:43.3
X20240723_SIA_Batch3_48.raw,20240723_SIA_Batch3_48.raw,942,47,48,Sample,NA,3,2,1,34:59.5
X20240723_SIA_Batch3_67.raw,20240723_SIA_Batch3_67.raw,958,65,67,Sample,NA,3,2,1,15:57.4
X20240723_SIA_Batch3_68.raw,20240723_SIA_Batch3_68.raw,959,66,68,Sample,NA,3,2,1,02:20.6
X20240723_SIA_Batch3_72.raw,20240723_SIA_Batch3_72.raw,963,70,72,Sample,NA,3,2,1,59:20.8
X20240723_SIA_Batch3_82.raw,20240723_SIA_Batch3_82.raw,970,80,82,Sample,NA,3,2,1,52:01.8
