"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"53","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_24_NPA.raw",6114138608,FALSE,666,2024-06-13 17:41:09.574396,2024-06-15 18:26:24.120899,2024-06-20 17:22:04.72245,"no","20240612_WFB_Plate_01_24_NPA",26,"24"
"5","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1003_NPA.raw",6086417054,FALSE,666,2024-06-13 18:43:29.06498,2024-06-15 18:24:39.339962,2024-06-20 15:29:41.247597,"no","20240612_WFB_Plate_01_1003_NPA",27,"1003"
"17","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1048_NPA.raw",6409747397,FALSE,666,2024-06-13 19:45:48.255039,2024-06-15 18:22:49.283844,2024-06-20 16:01:14.981201,"no","20240612_WFB_Plate_01_1048_NPA",28,"1048"
"77","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_NC1_NPA.raw",7048635884,FALSE,666,2024-06-13 20:48:08.376854,2024-06-15 18:20:45.091379,2024-06-20 18:26:58.447601,"no","20240612_WFB_Plate_01_NC1_NPA",29,"NC1"
"37","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1130_NPA.raw",6825900014,FALSE,666,2024-06-13 21:50:28.003511,2024-06-15 18:18:38.708626,2024-06-20 16:47:42.62269,"no","20240612_WFB_Plate_01_1130_NPA",30,"1130"
"71","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_H21_NPA.raw",6900657268,FALSE,666,2024-06-13 22:52:49.725273,2024-06-15 18:16:41.268816,2024-06-20 18:05:16.442137,"no","20240612_WFB_Plate_01_H21_NPA",31,"H21"
"21","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1069_NPA.raw",6259555105,FALSE,666,2024-06-13 23:55:13.37278,2024-06-15 18:14:54.960186,2024-06-20 16:10:39.491734,"no","20240612_WFB_Plate_01_1069_NPA",32,"1069"
"49","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_2012-7_NPA.raw",6568424482,FALSE,666,2024-06-14 00:57:33.065044,2024-06-15 18:12:14.153358,2024-06-20 17:13:29.140074,"no","20240612_WFB_Plate_01_2012-7_NPA",33,"2012.7"
"7","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1006_NPA.raw",6485751793,FALSE,666,2024-06-14 01:59:54.830452,2024-06-15 18:09:27.583794,2024-06-20 15:34:01.027002,"no","20240612_WFB_Plate_01_1006_NPA",34,"1006"
"25","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1102_NPA.raw",6851340293,FALSE,666,2024-06-14 03:02:14.555269,2024-06-15 18:06:26.558441,2024-06-20 16:19:42.727127,"no","20240612_WFB_Plate_01_1102_NPA",35,"1102"
