"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"469","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1083_NPA.raw",10364230374,FALSE,666,2024-07-06 00:49:43.133636,2024-07-07 10:17:08.976238,2024-07-30 04:37:55.172516,"no","20240704_WFB_Plate_06_1083_NPA",233,"1083"
"457","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1008_NPA.raw",10532455592,FALSE,666,2024-07-06 01:52:28.424362,2024-07-07 10:14:08.849836,2024-07-30 04:19:02.038593,"no","20240704_WFB_Plate_06_1008_NPA",234,"1008"
"465","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1039_NPA.raw",10179060201,FALSE,666,2024-07-06 02:55:13.887457,2024-07-07 10:11:15.99538,2024-07-30 04:31:36.60475,"no","20240704_WFB_Plate_06_1039_NPA",235,"1039"
"477","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1099_NPA.raw",10072895265,FALSE,666,2024-07-06 03:57:59.020786,2024-07-07 10:08:16.372572,2024-07-30 04:50:07.009907,"no","20240704_WFB_Plate_06_1099_NPA",236,"1099"
"483","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1125_NPA.raw",10384937151,FALSE,666,2024-07-06 05:00:48.507179,2024-07-07 10:05:10.752069,2024-07-30 04:59:26.307159,"no","20240704_WFB_Plate_06_1125_NPA",237,"1125"
"533","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_NC12_NPA.raw",9536984767,FALSE,666,2024-07-06 06:03:36.098726,2024-07-07 10:02:25.016447,2024-07-30 06:19:36.844675,"no","20240704_WFB_Plate_06_NC12_NPA",238,"NC12"
"459","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1018_NPA.raw",9513431237,FALSE,666,2024-07-06 07:06:24.493143,2024-07-07 09:58:19.209038,2024-07-30 04:22:11.491545,"no","20240704_WFB_Plate_06_1018_NPA",239,"1018"
"497","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1150_NPA.raw",10871459415,FALSE,666,2024-07-06 08:09:17.932676,2024-07-07 09:53:50.537554,2024-07-30 05:21:31.107218,"no","20240704_WFB_Plate_06_1150_NPA",240,"1150"
"623","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_NC20_NPA.raw",10147183445,FALSE,666,2024-07-08 13:43:39.831356,2024-07-09 09:42:40.486269,2024-07-29 18:35:02.381889,"no","20240708_WFB_Plate_07_NC20_NPA",241,"NC20"
"611","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_6_NPA.raw",9497038392,FALSE,666,2024-07-08 14:46:27.443882,2024-07-09 09:41:19.519556,2024-07-29 18:15:39.897118,"no","20240708_WFB_Plate_07_6_NPA",242,"6"
"581","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1142-2_NPA.raw",8806073209,FALSE,666,2024-07-08 15:49:13.258694,2024-07-09 09:40:04.435432,2024-07-29 17:27:58.034002,"no","20240708_WFB_Plate_07_1142-2_NPA",243,"1142.2"
"593","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1180_NPA.raw",8584102069,FALSE,666,2024-07-08 16:52:07.349134,2024-07-09 09:38:51.264029,2024-07-29 17:46:40.622622,"no","20240708_WFB_Plate_07_1180_NPA",244,"1180"
"613","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_76_NPA.raw",9916931906,FALSE,666,2024-07-08 17:55:01.073818,2024-07-09 09:37:12.511631,2024-07-29 18:18:52.075953,"no","20240708_WFB_Plate_07_76_NPA",245,"76"
"587","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1168_NPA.raw",8963996505,FALSE,666,2024-07-08 18:57:52.886776,2024-07-09 09:35:55.021196,2024-07-29 17:37:17.511959,"no","20240708_WFB_Plate_07_1168_NPA",246,"1168"
"575","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1135_NPA.raw",9718082253,FALSE,666,2024-07-08 20:00:40.00593,2024-07-09 09:34:32.00951,2024-07-29 17:18:45.526934,"no","20240708_WFB_Plate_07_1135_NPA",247,"1135"
