"","Sample","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","Set","Observation"
"19","1015","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1015_NPB.raw",11468160341,FALSE,666,2024-07-29 11:58:47.5147,2024-07-30 00:05:31.903263,2024-08-05 11:45:05.450279,"no","20240726_WFB_Plate_08_1015_NPB","PASC",""
"20","1016","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1016_NPB.raw",6944216450,FALSE,666,2024-06-14 11:15:45.415606,2024-06-15 18:30:11.920658,2024-07-29 19:02:51.123272,"no","20240612_WFB_Plate_01_1016_NPB","PASC",""
"21","1017","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_1017_NPB.raw",12144521288,FALSE,666,2024-07-25 18:05:14.014975,2024-07-26 17:23:31.658575,2024-08-02 11:12:38.385551,"no","20240721_WFB_Plate_10_1017_NPB","PASC",""
"22","1018","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1018_NPB.raw",9004940824,FALSE,666,2024-07-08 02:52:43.253429,2024-07-08 09:40:21.820374,2024-07-30 04:23:41.627464,"no","20240704_WFB_Plate_06_1018_NPB","PASC",""
"23","1019","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1019_NPB.raw",10806603551,FALSE,666,2024-07-30 08:43:06.20718,2024-07-30 17:39:11.439365,2024-08-05 11:53:51.535839,"no","20240726_WFB_Plate_08_1019_NPB","PASC",""
"24","102","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_102_NPB.raw",12710491754,FALSE,666,2024-07-25 21:13:02.358091,2024-07-26 17:13:16.550051,2024-08-02 11:47:15.489273,"no","20240721_WFB_Plate_10_102_NPB","Acute",""
"25","1020","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1020_NPB.raw",11908273291,FALSE,666,2024-07-29 07:48:19.274532,2024-07-30 00:13:57.608334,2024-08-05 12:11:19.654785,"no","20240726_WFB_Plate_08_1020_NPB","PASC",""
"26","1021","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/Samples/20240620_WFB_Plate_03_1021_NPB.raw",9892401538,FALSE,666,2024-06-25 12:51:54.963888,2024-06-25 16:56:56.397486,2024-07-29 22:16:47.721241,"no","20240620_WFB_Plate_03_1021_NPB","PASC","Viscous"
"27","1022","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_1022_NPB.raw",11472169411,FALSE,666,2024-07-25 17:02:39.936136,2024-07-26 17:25:16.158817,2024-08-02 11:23:56.820543,"no","20240721_WFB_Plate_10_1022_NPB","PASC",""
"28","1023","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240626_Plate_04/Samples/20240626_WFB_Plate_04_1023_NPB.raw",8335179180,FALSE,666,2024-06-29 05:21:49.71039,2024-06-29 09:29:28.554428,2024-07-30 00:09:43.257786,"no","20240626_WFB_Plate_04_1023_NPB","PASC",""
"29","1024","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1024_NPB.raw",7893433419,FALSE,666,2024-07-19 12:26:38.661457,2024-07-20 16:32:17.318878,2024-08-02 12:34:54.632681,"no","20240716_WFB_Plate_09_1024_NPB","PASC","Reddish, Cloudy"
"30","1025","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240628_Plate_05/Samples/20240630_WFB_Plate_05_1025_NPB.raw",8269674935,FALSE,666,2024-07-02 11:09:40.618992,2024-07-02 23:10:41.435261,2024-07-30 02:27:06.353825,"no","20240630_WFB_Plate_05_1025_NPB","PASC",""
"31","1026","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_1026_NPB.raw",10237613057,FALSE,666,2024-07-24 15:46:59.094725,2024-07-25 14:17:59.732592,2024-08-02 11:35:15.74349,"no","20240721_WFB_Plate_10_1026_NPB","PASC","Reddish"
"32","1027","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1027_NPB.raw",10571604551,FALSE,666,2024-07-11 14:46:30.355925,2024-07-12 10:03:03.747921,2024-07-29 16:39:25.707218,"no","20240708_WFB_Plate_07_1027_NPB","PASC",""
"33","1028","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1028_NPB.raw",9793885811,FALSE,666,2024-07-21 11:26:24.79706,2024-07-21 17:21:37.202059,2024-08-02 12:37:15.634159,"no","20240716_WFB_Plate_09_1028_NPB","PASC","Reddish"
"34","1029","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240716_Plate_09/Samples/20240716_WFB_Plate_09_1029_NPB.raw",8856652902,FALSE,666,2024-07-20 09:29:16.229988,2024-07-20 16:41:31.084381,2024-08-02 12:40:01.689098,"no","20240716_WFB_Plate_09_1029_NPB","PASC",""
"35","1030","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1030_NPB.raw",6652893768,FALSE,666,2024-06-14 10:13:24.257452,2024-06-15 18:32:04.704805,2024-07-29 19:05:00.20853,"no","20240612_WFB_Plate_01_1030_NPB","PASC",""
"36","1031","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240708_Plate_07/Samples/20240708_WFB_Plate_07_1031_NPB.raw",10415498267,FALSE,666,2024-07-11 15:49:20.270716,2024-07-12 10:01:33.998716,2024-07-29 16:42:42.576649,"no","20240708_WFB_Plate_07_1031_NPB","PASC","Viscous"
"37","1032","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240721_Plate_10/Samples/20240721_WFB_Plate_10_1032_NPB.raw",9333357434,FALSE,666,2024-07-24 23:04:40.801254,2024-07-25 14:08:18.528105,2024-08-02 11:58:04.507454,"no","20240721_WFB_Plate_10_1032_NPB","PASC",""
"38","1032-2","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1032-2_NPB.raw",10903674246,FALSE,666,2024-07-30 06:37:51.045691,2024-07-30 17:45:23.721796,2024-08-05 12:19:56.664494,"no","20240726_WFB_Plate_08_1032-2_NPB","PASC_fu",""
"39","1033","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240620_Plate_03/Samples/20240620_WFB_Plate_03_1033_NPB.raw",8109812787,FALSE,666,2024-06-23 15:07:17.631062,2024-06-24 09:18:27.918337,2024-07-29 22:19:31.317644,"no","20240620_WFB_Plate_03_1033_NPB","PASC",""
"40","1034","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1034_NPB.raw",10178304397,FALSE,666,2024-07-07 12:13:33.494347,2024-07-08 10:00:34.361826,2024-07-30 04:26:38.723886,"no","20240704_WFB_Plate_06_1034_NPB","PASC",""
"41","1034-2","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1034-2_NPB.raw",11170547786,FALSE,666,2024-07-28 19:17:28.49501,2024-07-30 00:32:54.087101,2024-08-05 12:28:21.583506,"no","20240726_WFB_Plate_08_1034-2_NPB","PASC_fu",""
"42","1035","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240726_Plate_08_rerun/Samples/20240726_WFB_Plate_08_1035_NPB.raw",11516056023,FALSE,666,2024-07-29 22:17:03.901855,2024-07-30 17:59:14.972742,2024-08-05 12:36:59.633907,"no","20240726_WFB_Plate_08_1035_NPB","PASC",""
"43","1036","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240704_Plate_06/Samples/20240704_WFB_Plate_06_1036_NPB.raw",9821216058,FALSE,666,2024-07-06 14:20:34.750891,2024-07-07 10:40:09.262974,2024-07-30 04:30:03.685587,"no","20240704_WFB_Plate_06_1036_NPB","PASC",""
